lemma	freq	ours	OpenGNT
συστρέφω	2	permanecer	Estando siendo hechos volver juntos (1) · Habiendo recogido (1)
συστροφή	2	alboroto	girar juntos (en desorden) (1) · girar juntos (maquinando) (1)
τάραχος	2	disturbio	alboroto (2)
ταχινός	2	inminente	pronto (1) · pronta (1)
τελείωσις	2	cumplimiento	efectuación completa (2)
τελειότης	2	de perfecta unidad	completa (1) · completación (1)
τραχύς	2	áspero	rugosas (1) · rugosos (1)
τρῆμα	2	ojo	agujero (1)
φάντασμα	2	fantasma	Aparición (2)
φάρμακος	2	hechiceros	drogueros (espiritistas) (2) · droguerías (espiritistas) (1)
φειδομένως	2	escasamente	mezquinamente (2)
φθόγγος	2	voz	sonido (1) · sonidos (1)
φιλάργυρος	2	amadores del dinero	encariñados a plata (2)
φιλανθρωπία	2	bondad	cariño a la humanidad (1) · cariño al hombre (1)
φλογίζω	2	incendiar	estando encendiendo en llamas ardientes (1) · estando siendo encendido en llamas ardientes (1)
φραγελλόω	2	azotar	habiendo flagelado (2)
φρόνησις	2	sabiduría	sensatez (2)
φωλεός	2	guaridas	agujeros (2)
φωστήρ	2	luces	iluminadores (1) · resplandor (1)
χαλεπός	2	violento	fieros (2)
χαλιναγωγέω	2	refrenar	conduciendo con brida (1) · conducir con brida (1)
χειροτονέω	2	escoger	Habiendo extendido la mano (1) · habiendo sido (nombrado) por manos extendidas (1)
χορηγέω	2	suplir	proveerá (1) · está proveyendo (1)
ψηφίζω	2	contar	está calculando (1) · calcule (1)
ψωμίζω	2	apacentar	estés alimentando (1) · doy alimento a bocados (1)
ἀγρυπνία	2	desvelos	sin dormir (2)
ἀθέτησις	2	repudio	Puesta al lado de (1) · puesta al lado de (1)
ἀθῷος	2	inocente	inculpable (1) · Inculpable (1)
ἀκατακάλυπτος	2	descubierto	sin cubrirse completamente (2)
ἀκρασία	2	desenfreno	falta de poder (moderarse) (1) · falta de poder (regularse) (1)
ἀκριβόω	2	indagar con exactitud	averiguó cuidadosamente (2)
ἀλαζών	2	jactancioso	vagos (1) · fanfarrones (1)
ἀλαλάζω	2	lamento	estando haciendo ruidos (1) · estando haciendo mucho ruido (1)
ἀμεταμέλητος	2	irrevocable	Sin sentir pesar (1) · no estar sintiendo pesar (1)
ἀναίτιος	2	sin culpa	inculpables (2)
ἀναζάω	2	revivir	vivió otra vez (1) · llegó a vivir otra vez (1)
ἀνακαθίζω	2	incorporarse	(se) sentó erguido (1) · (se) sentó erguida (1)
ἀνακαλύπτω	2	ser alzado	estando siendo quitado el velo (1) · ha sido quitado el velo (1)
ἀναλύω	2	volver	regrese (1) · partir (hacia la muerte) (1)
ἀναπολόγητος	2	sin excusa	inexcusables (1) · inexcusable (1)
ἀνασείω	2	alborotar	incitaron (1) · Está incitando (1)
ἀνατίθημι	2	poner delante	expusieron (1) · expuse (1)
ἀναφαίνω	2	aparecer	estar siendo avistado (1) · Habiendo avistado (1)
ἀνεξιχνίαστος	2	inescrutable	ininvestigables (1) · ininvestigable (1)
ἀνετάζω	2	ser examinado	estar siendo interrogado (1) · estar interrogando completamente (1)
ἀνθρακιά	2	brasas	fuego de carbón (2)
ἀνοικοδομέω	2	reedificar	reconstruiré (2)
ἀνοχή	2	paciencia	autorefrenamiento (2)
ἀντίτυπος	2	copias	modelos que corresponden equivalentemente (1) · modelo que corresponde equivalentemente (1)
ἀνταποκρίνομαι	2	responder	replicar (1) · estando replicando (1)
ἀνωφελής	2	inútil	sin beneficio (1) · no provechoso (1)
ἀνόσιος	2	para impíos	a (los) sin lealtad en santidad (1) · no leales en santidad (1)
ἀπειλέω	2	amonestar	amenacemos (1) · estaba amenazando (1)
ἀποβάλλω	2	desechar	habiendo arrojado completamente (1) · arrojen completamente (1)
ἀπογραφή	2	censo	registro (2)
ἀποπλανάω	2	engañar	estar descarriando (1) · fueron inducidos a error (1)
ἀποτομία	2	severidad	cortamiento completo (1) · a cortamiento completo (1)
ἀποτόμως	2	con severidad	cortando abruptamente (2)
ἀπόθεσις	2	repudio	poniendo desde (hacia fuera) (2)
ἀρσενοκοίτης	2	homosexuales	varones compañeros de cama (1) · a varones compañeros de cama (1)
ἀσάλευτος	2	inconmovible	inmóvil (1) · insacudible (1)
ἀσεβέω	2	los impíos	hicieron irreverentemente (1)
ἀσσάριον	2	por un cuadrante	de asarión (2)
ἀστήρικτος	2	inconstante	no fijas firmemente (1) · no fijos firmemente (1)
ἀτάκτως	2	ociosamente	desordenadamente (2)
ἀτμίς	2	vapor	neblina (2)
ἀφεδρών	2	letrina	cloaca (2)
ἀφοράω	2	ver	vea atentamente (1) · estando mirando fijamente (1)
ἀχάριστος	2	ingrato	desagradecidos (2)
ἀχρεῖος	2	sin valor	inútil (1) · inútiles (1)
ἁπλοῦς	2	claro	sencillo (2)
ἁφή	2	ligamento	coyuntura (1) · coyunturas (1)
ἄγναφος	2	nuevo	no encogido (2)
ἄγρα	2	redada	captura (2)
ἄδηλος	2	que no se ven	indistinguibles (1) · indistinguible (1)
ἄθεσμος	2	sin ley	ilegales (2)
ἄκακος	2	ingenuo	sin malicia (2)
ἄμαχος	2	pacífico	no peleador (1) · no dispuestos a pelear (1)
ἄμετρος	2	sobremanera	sin medida (2)
ἄνοια	2	con furor	de ira irrazonable (1) · ira irrazonable (1)
ἄτερ	2	aparte de	sin (2)
ἅλων	2	era	suelo de trillar (2)
ἐκδιηγέομαι	2	declararlo	esté contando a detalle (1) · estando contando en detalle (1)
ἐκεῖσε	2	allí	en aquél lugar (2)
ἐκτελέω	2	terminar	completar totalmente (2)
ἐκτενής	2	más fervientemente	extendido (1)
ἐκτενῶς	2	ferviente	extendidamente (2)
ἐκτρέφω	2	sustentar	está alimentando (1) · estén criando (1)
ἐκφύω	2	echar	esté haciendo brotar (2)
ἐλαφρός	2	luz	liviana (2)
ἐλλογέω	2	ser imputado	está siendo puesto en cuenta (1) · estés poniendo a cuenta (1)
ἐμβάπτω	2	mojar	habiendo sumergido en (1) · estando sumergiendo en (1)
ἐμπλέκω	2	enredarse	está siendo envuelto (1) · habiendo sido entretejidos (1)
ἐνδιδύσκω	2	vestirse	están vistiendo (1) · estaba vistiéndose (1)
ἐνεδρεύω	2	velar	estando yaciendo en espera (1) · están yaciendo en espera (1)
ἐνθυμέομαι	2	meditar	habiendo reflexionado (1) · están pensando (1)
ἐνοχλέω	2	turbado	estando siendo perturbados (1) · esté causando disturbio (1)
ἐντός	2	dentro	interior (1) · en medio (1)
ἐξαγγέλλω	2	proclamar	declararon públicamente (1) · declaren públicamente (1)
ἐξανατέλλω	2	brotar	saltó hacia arriba hacia fuera (2)
ἐξορύσσω	2	romper	habiendo excavado hacia fuera (2)
ἐπίσημος	2	notable	prominente (1) · prominentes (1)
ἐπανέρχομαι	2	volver	estar regresando (1) · regresar (1)
ἐπεγείρω	2	alborotar	levantaron sobre (2)
ἐπενδύω	2	revestirse de	ser investido encima (2)
ἐπηρεάζω	2	maltratar	estando hablando con desprecio (2)
ἐπιδέχομαι	2	acoger	está recibiendo bien dispuesto sobre (2)
ἐπιδημέω	2	visitar	estando habitando temporalmente (2)
ἐπιείκεια	2	bondad	disposición a condescender (1) · disposición a ceder (1)
ἐπιλέγω	2	llamar	estando siendo sobredicho (1) · habiendo dicho sobre (1)
ἐπιλύω	2	explicar	estaba desatando completamente (1) · será sobredesatado (1)
ἐπιφέρω	2	infligir	estando llevando sobre (1) · llevar sobre (1)
ἐποπτεύω	2	presenciar	estando poniendo los ojos sobre (1) · Habiendo puestos ojos sobre (1)
ἐρεθίζω	2	provocar	estimuló (1) · estén estimulando (a ira) (1)
ἐφημερία	2	división	sobre día (2)
ἐφικνέομαι	2	alcanzar	venir sobre (1) · estando viniendo sobre (1)
ἔκβασις	2	escapar	ida dando pasos hacia fuera (1) · resultado (1)
ἔννοια	2	intenciones	inclinaciones mentales (1) · inclinación mental (1)
ἔννομος	2	lícito	legal (1) · en ley (1)
Ἑλληνίς	2	gentil	griega (1) · griegas (1)
ἡσύχιος	2	tranquilo	quieta (1) · quieto (1)
ἤπιος	2	apacible	amable (1)
ἥττημα	2	fracaso	disminución (2)
ἰχθύδιον	2	pececillos	pescaditos (2)
ἱκανόω	2	capacitar	hizo suficiente (1) · habiendo hecho suficiente (1)
ἵλεως	2	de ninguna manera	Misericordioso (1) · misericordioso (1)
Ἰωράμ	2	Joram	Jehoram (2)
Ἰωσαφάτ	2	Josafat	Jehosafat (2)
ὀδυρμός	2	luto	gemido de lloro (2)
ὀδύνη	2	tristeza	dolor (1) · a dolores (1)
ὀνικός	2	pesado	perteneciente a asno (2)
ὀπή	2	guaridas	cavernas (1) · abertura (1)
ὁμοιότης	2	del mismo modo	semejanza (2)
ὁρκίζω	2	conjurar	Estoy poniendo bajo juramento (2)
ὄμμα	2	ojos	oculares (2)
ὑπέρογκος	2	arrogante	Hinchadas (expresiones) (1) · hinchadas (expresiones) (1)
ὑπεναντίος	2	adverso	(agazapado) debajo en oposición (1) · debajo en contra (1)
ὑπερλίαν	2	eminentísimo	supereminentes (2)
ὑπεροχή	2	excelencia	superioridad (2)
ὑποτίθημι	2	acostarse	expusieron (1) · estando colocando debajo (1)
ὑποχωρέω	2	retirarse	estando apartando (1) · (se) apartó (1)
ὑπωπιάζω	2	agotar	esté golpeando bajo el ojo (1) · estoy golpeando bajo el ojo (1)
ὑστέρησις	2	pobreza	necesidad (2)
ὕπαρξις	2	bienes	posesiones (1) · posesión (1)
ὠτάριον	2	oído	oreja (2)
ῥαβδοῦχος	2	alguaciles	funcionarios de las varas (2)
ῥαπίζω	2	herir	está dando bofetada (1) · abofetearon (1)
ῥυπαρός	2	andrajoso	sucia (1) · sucio (1)
Ῥοβοάμ	2	Roboam	Rehoboam (2)
Κλωπᾶς	1	de Cleofas	Clopas (1)
Κυρήνιος	1	Cirenio	Quirinio (1)
αἰδώς	1	pudor	modestia (1)
αἰσθάνομαι	1	entender	perciban (1)
αἰσχρότης	1	inmundicia	conducta vergonzosa (1)
αἱρετικός	1	faccioso	A hereje (1)
αἴσθησις	1	discernimiento	percepción sensorial (1)
αὐτάρκης	1	contento	autosuficiente (1)
αὐχέω	1	jactarse	está alardeando (1)
αὐχμηρός	1	oscuro	reseco-lóbrego (1)
βέλος	1	flechas	proyectiles (1)
βαθμός	1	posición	paso (1)
βαθύνω	1	ahondar	profundizó (1)
βασανιστής	1	carcelero	atormentadores (1)
βασκαίνω	1	fascinar	hechizó (1)
βελτίων	1	muy bien	mejor (1)
βιαστής	1	violento	luchadores enérgicos hacia (él) (1)
βλέμμα	1	al ver	-- Mirada (1)
βολή	1	echar	arrojamiento (1)
βραβεύω	1	reinar	esté actuando como árbitro (1)
βραδύτης	1	tardanza	lentitud (1)
βρόχος	1	freno	lazo (1)
βρύχω	1	crujir	estaban apretando (1)
βρύω	1	brotar	está borbotoneando (1)
βόρβορος	1	en el lodo	de fango (1)
γερουσία	1	senado	asamblea de hombres de mayor edad (1)
γναφεύς	1	lavandero	blanqueador de telas (1)
γραώδης	1	necio	pertenecientes a mujeres viejas (1)
γυμνασία	1	ejercicio	entrenamiento (como gimnasta) (1)
δάνειον	1	deuda	préstamo (1)
δέρμα	1	odres	pieles (1)
δέσμη	1	manojos	haces (1)
δακρύω	1	llorar	Derramó lágrimas (1)
δαπάνη	1	costo	gasto (1)
δειλιάω	1	temer	esté acobardando (1)
δεισιδαίμων	1	muy religioso	más llenos del pavor a las deidades (1)
δεισιδαιμονία	1	religión	pavor a la deidad (1)
δεῖγμα	1	ejemplo	a muestra (1)
δεῖνα	1	cierto hombre	fulano (1)
δημηγορέω	1	arengar	estaba discursando públicamente (1)
δημιουργός	1	constructor	artesano (para pueblo) (1)
διάστημα	1	después	intérvalo (1)
διάταγμα	1	edicto	orden (1)
διέξοδος	1	caminos	salidas encrucijadas (1)
διαμάχομαι	1	contender	estaban peleando a través (1)
διανέμω	1	extenderse	sea divulgado (1)
διανυκτερεύω	1	pernoctar	continuando a través toda la noche (1)
διασείω	1	extorsionar	sacudan completamente (1)
διατελέω	1	permanecer	están siendo completados a través (1)
διαυγάζω	1	amanecer	resplandezca (1)
διαφεύγω	1	escapar	huya a través (1)
διαχλευάζω	1	burla	estando mofando (1)
διαχωρίζω	1	partir	estar separando (1)
διενθυμέομαι	1	pensar	estando reflexionando (1)
διερμηνευτής	1	intérprete	traductor (1)
διερωτάω	1	preguntar por	habiendo inquirido (1)
διχάζω	1	poner en discordia	dividir (1)
διϊκνέομαι	1	penetrante	estando yendo a través de (1)
δογματίζω	1	someterse a preceptos	están siendo sujetados (1)
δολόω	1	adulterar	estando manejando engañosamente (1)
δουλαγωγέω	1	reducir a servidumbre	estoy conduciendo como esclavo (1)
δράσσομαι	1	pescar	estando capturando (1)
δόλιος	1	engañoso	fraudulentos (1)
εἰσπηδάω	1	entrar precipitadamente	saltó al interior (1)
εὐθύτης	1	justicia	derechura (1)
εὐνοέω	1	convenir	siendo de mente buena (1)
εὐπειθής	1	razonable	lista para obedecer (1)
εὐπερίστατος	1	que asedia	puesto de pie bien alrededor (1)
εὐποιΐα	1	lo bueno	hacer bien (1)
εὐπορέω	1	prosperar	estaba siendo bien yendo en camino (1)
εὐπορία	1	riqueza	prosperidad (1)
εὐπρέπεια	1	hermosura	bien apropiada (1)
εὐπροσωπέω	1	tener buena apariencia	hacer agradable rostro (1)
εὐρύχωρος	1	ancho	espacioso (1)
εὐτραπελία	1	chocarrería	bromear obsceno (1)
εὐψυχέω	1	ser animado	esté siendo bien de alma (1)
εὔσημος	1	inteligible	bien comprensible (1)
εὔφημος	1	admirable	bien habladas (de ellas) (1)
ζευκτηρία	1	cuerdas	amarres (1)
θάρσος	1	valor	ánimo (1)
θέλησις	1	voluntad	cosa deseada? (1)
θαυμάσιος	1	prodigios	maravillosas (1)
θεράπων	1	siervo	servidor (1)
θεότης	1	Deidad	divinidad (1)
θηρεύω	1	atrapar	capturar (1)
θραύω	1	oprimido	han sido quebrantados (1)
θρησκός	1	religioso	adorador formal (1)
θυμομαχέω	1	lleno de ira	estando siendo en mente dispuesto a pelear (1)
θύελλα	1	asaltar	tempestad (1)
θύϊνος	1	cidro	olorosa (1)
κάκωσις	1	opresión	maltrato (1)
κέλευσμα	1	voz de mando	llamada imperativa (1)
καθάπτω	1	fijar	prendió (mordiendo) (1)
καθαίρω	1	podar	está limpiando (1)
καθαρότης	1	purificación	limpieza (1)
καθόλου	1	en absoluto	hacia abajo (lo) entero (1)
καλοποιέω	1	buenas obras	estando haciendo lo excelente (1)
καπηλεύω	1	traficar	estando vendiendo como mercachifle (1)
κατάβασις	1	descenso	bajada (1)
κατάλαλος	1	calumniador	habladores hacia abajo (1)
κατάλοιπος	1	remanente	restantes (1)
κατάρτισις	1	perfección	reajuste en alineación hacia abajo (1)
κατάστημα	1	conducta	comportamiento (1)
κατήφεια	1	tinieblas	desaliento (1)
καταβαρέω	1	gravar	puse carga hacia abajo (1)
καταβαρύνω	1	pesado	estando siendo muy cargados (1)
καταβραβεύω	1	descalificar	esté privando del premio (1)
καταγγελεύς	1	pregonero	proclamador (1)
καταγωνίζομαι	1	vencer	conquistaron luchando vigorosamente (1)
καταδέω	1	vendar	ató hacia abajo (1)
καταδιώκω	1	ir tras	siguió intensamente (en búsqueda) (1)
κατακλύζω	1	anegado	habiendo sido inundado (1)
κατακρημνίζω	1	echar encima	arrojar de cabeza hacia abajo (1)
καταλέγω	1	inscribirse	esté siendo puesta en lista (1)
καταμανθάνω	1	observar	Aprendan completamente (1)
καταρτισμός	1	perfeccionamiento	ajuste (alineado) hacia abajo (1)
κατασοφίζομαι	1	traicionar	habiendo usado destreza astuta (1)
καταστρηνιάω	1	desenfrenarse contra	sientan impulsos sexuales (1)
καταστρώννυμι	1	tender	fueron desparramados completamente (1)
κατασφάζω	1	matar	degüellen (1)
κατατομή	1	falsa circuncisión	cortamiento (1)
καταφρονητής	1	burlador	despreciadores con escarnio (1)
κατοίκησις	1	morada	habitación (1)
κατοικία	1	morada	habitación (1)
κατώτερος	1	inferior	más bajas (1)
καῦσις	1	ardiente	quema (1)
κειρία	1	con vendas	a bandas de tela (1)
κενόδοξος	1	jactancioso	vanagloriosos (1)
κεράτιον	1	algarrobas	cuernitos (1)
κεραμικός	1	alfarero	hechas de barro (1)
κεφαλίς	1	rollo	cabecita del palo de madera (1)
κλέμμα	1	hurtos	robos (1)
κλέος	1	mérito	cosa llamada (1)
κληρόω	1	recibir herencia	fuimos asignados por suerte (1)
κλινάριον	1	lechos	camillas (1)
κοίμησις	1	descanso	dormir (1)
κοιτών	1	aposento	dormitorio (1)
κολλούριον	1	colirio	pomada para los ojos (1)
κοπή	1	matanza	cortamiento (1)
κραιπάλη	1	disipación	comida excesiva (1)
κρύπτη	1	secreto	lugar oculto (1)
κτήτωρ	1	dueños	poseedores (1)
κυβέρνησις	1	administrar	manejos (1)
κυβεία	1	astucia	juego de dados (1)
κωμόπολις	1	aldeas	villas (1)
κῶλον	1	cuerpos	cadáveres (1)
λίψ	1	suroeste	sudeste (viento) (1)
λαμπρῶς	1	con esplendor	brillantemente (1)
λειτουργικός	1	ministrar	perteneciente a servicio público (1)
λεῖμμα	1	remanente	resto dejado (1)
λιθόστρωτος	1	Enlosado	Empedrado (1)
λυτρωτής	1	redentor	rescatador (1)
λύσις	1	partir	desatadura (1)
λῆρος	1	locura	habla sin sentido (1)
μαθήτρια	1	discípulo	aprendiz (1)
μαντεύομαι	1	adivinando	estando en furioso éxtasis (1)
μαραίνω	1	marchitarse	será desvanecido (1)
ματαιολογία	1	palabrería	habla vana (1)
ματαιόω	1	volverse vanos	fueron envanecidos (1)
μεγαλοπρεπής	1	majestuoso	magnífico (1)
μεριστής	1	repartidor	encargado de dividir (1)
μεσιτεύω	1	garantizado	medió (1)
μετακινέω	1	ser removido	habiendo sido movidos a otra parte (1)
μετατρέπω	1	volverse	sea convertido (1)
μετοχή	1	sociedad	compañerismo (1)
μετρίως	1	un poco	medidamente (1)
μετρητής	1	metretas	medida (1)
μετριοπαθέω	1	ser paciente	estar tratando con moderación (1)
μηκύνω	1	crecer	esté siendo alargada (1)
μισθαποδότης	1	galardonador	devolvedor de recompensa (1)
μνήμη	1	memoria perpetua	mención (1)
μυρίζω	1	ungir	poner aceite perfumado (1)
μυωπάζω	1	ser corto de vista	estando cerrando parcialmente los ojos (1)
μῶμος	1	manchas	tachas (1)
νή	1	tan cierto como	por (1)
ναῦς	1	vaso	nave (1)
νεφρός	1	afectos	riñones (1)
νηπιάζω	1	ser niños	estén siendo pequeñuelos (1)
νιπτήρ	1	vasija	palangana (1)
νομοθέτης	1	legislador	colocador de ley (1)
νοσέω	1	malsano	estando mentalmente enfermo (1)
νουνεχῶς	1	sabiamente	inteligentemente (1)
ξέστης	1	vasos	cántaros (1)
οἰκετεία	1	casa	servidumbre doméstica (1)
οἰκοδόμος	1	edificador	constructores (1)
οἰνοφλυγία	1	embriaguez	excesos con vino (1)
οἴκημα	1	celda	habitación (de la prisión) (1)
οὐά	1	¡ah!	Bah (1)
οὐκοῦν	1	entonces	¿Así que (1)
πάρεσις	1	paciencia	dejar pasar al lado (1)
πάροδος	1	pasajero	camino al lado de (1)
πέριξ	1	circundante	de todo alrededor (1)
πίμπρημι	1	encenderse	estar hinchando (1)
παθητός	1	padecer	sujeto a sufrimiento (1)
παιδάριον	1	niñito	muchachito (1)
παλαιότης	1	en vejez	a (modo) viejo (1)
παμπληθεί	1	todos juntos	plena multitud (1)
πανδοχεύς	1	mesonero	encargado de alojamiento público (1)
πανδοχεῖον	1	mesón	alojamiento público (1)
πανοῦργος	1	astuto	obrador de todo (1)
παράλιος	1	costa	(región) marítima (1)
παράσημος	1	con la enseña de	a insignia (1)
παραβάλλω	1	llegar	arrojamos al lado de (1)
παραδειγματίζω	1	exponer a vituperio	estando exhibiendo públicamente (1)
παραθεωρέω	1	ser desatendidas	estaban siendo pasados por alto (1)
παρακαλύπτω	1	velado	ha sido cubierta completamente (1)
παραλλαγή	1	variación	cambio de posición (1)
παρανομία	1	transgresión	ilegalidad (1)
παραπίπτω	1	caer	habiendo caído al lado de (1)
παραπικραίνω	1	rebelarse	provocaron amargura? (1)
παρατείνω	1	continuar	estaba extendiendo al lado de (1)
παρατυγχάνω	1	encuentro	estando concurriendo casualmente (1)
παρεισφέρω	1	introducir	habiendo añadido además (1)
παρεμβάλλω	1	rodear	arrojarán al lado de (1)
παρενοχλέω	1	molestar	estar perturbando (1)
παροργισμός	1	ira	provocación a cólera (1)
παροτρύνω	1	incitar	alborotaron escandalosamente (1)
παρόμοιος	1	como	semejantes (1)
πενιχρός	1	pobre	necesitada (1)
περιδέω	1	ceñido	había sido puesto alrededor (1)
περιεργάζομαι	1	ser entremetidos	estando caminando alrededor (1)
περικάθαρμα	1	escoria	(desecho) limpiado de todo alrededor (1)
περικρατής	1	dominio	apoderados completamente (1)
περιμένω	1	aguardar	estar permaneciendo alrededor de (1)
περιούσιος	1	escogido especialmente	propiamente suyo (1)
περιπείρω	1	traspasar	agujerearon alrededor (1)
περιτρέπω	1	volverse	está girando alrededor (1)
πιότης	1	savia	grosura (1)
πλάσμα	1	lo formado	cosa moldeada (1)
πλαστός	1	con fingidas	a moldeadas (1)
πλησμονή	1	indulgencia	satisfacción (1)
πολύσπλαγχνος	1	lleno de compasión	teniendo muchas entrañas (1)
πραγματεία	1	asuntos	negocios (1)
πρεσβῦτις	1	anciano	Mujeres de mayor edad (1)
προέχω	1	ser mejores	¿Estamos teniendo hacia adelante? (1)
προαύλιον	1	pórtico	vestíbulo exterior (1)
προβιβάζω	1	instigado	habiendo sido incitada (1)
προβλέπω	1	planear	habiendo previsto (1)
προδίδωμι	1	dar primero	dio de antemano (1)
προθύμως	1	con anhelo	dispuestamente (1)
προμελετάω	1	premeditar	estar pensando de antemano (1)
προσαγορεύω	1	designado	Habiendo sido llamado específicamente (1)
προσαναβαίνω	1	subir	da pasos hacia arriba hacia (1)
προσεργάζομαι	1	producir	se trabajó más hacia (1)
προσκεφάλαιον	1	cabezal	almohada (1)
προσκλίνω	1	unirse	fueron adheridos hacia (1)
προσκληρόω	1	unirse	fueron asignados por suertes (1)
προσκολλάω	1	unirse	será adherido (2)
προσκοπή	1	obstáculo	causa de tropiezo (1)
προσορμίζω	1	arrastrar a tierra	fueron anclados hacia (1)
προσπήγνυμι	1	crucificar	habiendo fijado hacia (1)
προσποιέω	1	aparecer	pretendió (1)
προσπορεύομαι	1	subir	estando yendo en camino hacia (1)
προστάτις	1	protectora	defensora (1)
προσφάγιον	1	pez	comestible acompañante (1)
προσφιλής	1	amable	inductoras a cariño (1)
προτείνω	1	extenderse	estiraron atado hacia (1)
προτρέπω	1	animar	habiendo girado hacia sí (1)
προφθάνω	1	anticipar	(se) adelantó (1)
προχειροτονέω	1	escogido de antemano	han sido previamente a mano designados (1)
πρωτεύω	1	tener la preeminencia	estando poseyendo el primer lugar (1)
πρωτοστάτης	1	guía	uno que se pone de pie primerísimo (1)
πρόδρομος	1	precursor	corredor delantero (1)
πρόσφατος	1	nuevo	recién muerto (1)
πρόσχυσις	1	rociamiento	vertimiento hacia (1)
πτωχεύω	1	empobrecerse	llegó a ser pobre (1)
πτόησις	1	consternación	causa de terror (1)
πυγμή	1	cuidadosamente	a puño (1)
πυκτεύω	1	pelear	estoy golpeando con puño (1)
πότος	1	orgías	sesiones de bebidas (1)
πύρινος	1	ardiente	de fuego (1)
σάλος	1	oleaje	de agitación (1)
σήπω	1	pudrirse	(se) ha podrido (1)
σίκερα	1	licor	bebida fuerte (1)
σαίνω	1	conmoverse	estar siendo oscilado (1)
σαργάνη	1	canasta	cesta de mimbre (1)
σημειόω	1	notar	estén poniendo señal para sí (1)
σητόβρωτος	1	comido de polilla	apolilladas (1)
σθενόω	1	fortalecer	hará fuertes (1)
σικάριος	1	sicario	portadores de las dagas? (1)
σιτομέτριον	1	ración	medida de grano? (1)
σκευή	1	aparejo	equipo de utensilios (1)
σκῦλον	1	saquear	botínes (1)
σορός	1	féretro	urna mortuoria (1)
σπεκουλάτωρ	1	verdugo	a uno de la guardia (1)
σπερμολόγος	1	palabrero	recogedor de semillas (1)
στάμνος	1	vasija	jarra (1)
στίλβω	1	resplandeciente	estando reluciendo (1)
στιγμή	1	momento	punto (1)
στρατόπεδον	1	campamentos	ejércitos acampados (1)
στρῆνος	1	sensualidad	lujo sin rienda (1)
συγκάμπτω	1	encorvada	doblar juntamente (1)
συγκαταβαίνω	1	descender también	habiendo dado pasos hacia abajo juntamente (1)
συγκινέω	1	alborotar	Agitaron juntamente (1)
συγκομίζω	1	sepultar	Llevaron juntamente (1)
συγκυρία	1	azar	coincidencia (1)
συγχράομαι	1	tener trato	están usando juntos (1)
συλάω	1	despojar	robé (1)
συλλυπέω	1	entristecerse	siendo hondamente contristado (1)
συμμαθητής	1	condiscípulos	coaprendices (1)
συμπίπτω	1	caer	cayó completamente (1)
συμπαθής	1	compasivo	con simpatía (1)
συμπαραγίνομαι	1	reunirse	habiendo llegado a ser al lado de juntamente (1)
συμπρεσβύτερος	1	anciano también	coanciano (1)
συνέπομαι	1	acompañar	Estaba siguiendo con (1)
συνδρομή	1	tropel	correr juntamente (1)
συνηλικιώτης	1	contemporáneos	juntamente de (misma) edad (1)
συνθρύπτω	1	partir	estando quebrantando (1)
συνοδεύω	1	viajar con	estando yendo en compañía (1)
συνομορέω	1	contiguo	estando teniendo límite junto (1)
συντέμνω	1	traer rápidamente	estando cortando corto (1)
συντυγχάνω	1	obtener	encontrar(se) con (1)
συνυποκρίνομαι	1	actuar con hipocresía	fueron hechos simular juntamente (1)
συνυπουργέω	1	unir	estando cooperando bajo (1)
συνωδίνω	1	gemir a una	está en dolor juntamente (1)
συνωμοσία	1	complot	juramento juntos (1)
σφάγιον	1	animales sacrificados	víctimas (1)
σφοδρῶς	1	violentamente	Vehementemente (1)
σωφρονίζω	1	enseñar	estén haciendo de mente sana (1)
σωφρόνως	1	discretamente	con recto juicio de mente (1)
σύμφυτος	1	unido	plantados juntamente (1)
σύμψυχος	1	unánimes	juntos en alma (1)
σύντριμμα	1	ruina	quebrantamiento (1)
τήκω	1	deshacerse	está siendo fundido (1)
τίνω	1	padecer	pagarán la pena (1)
ταλαιπωρέω	1	entristecerse	Aflíjanse con su miseria (1)
τεκνογονία	1	maternidad	tener hijos (1)
τελείως	1	plenamente	completamente (1)
τελειωτής	1	consumador	completador (1)
τελεσφορέω	1	madurar	están llevando a completación (1)
τελευτή	1	muerte	final (1)
τηλαυγῶς	1	claramente	lejos radiantemente (1)
τιμιότης	1	riqueza	preciosidad (1)
τοιόσδε	1	como sigue	de tal (voz) (1)
τολμητής	1	osado	Atrevidos (1)
τοῖχος	1	muro	pared (1)
τρίζω	1	crujir	está rechinando (1)
τραχηλίζω	1	desnudo	ha sido (como) garganta expuesta (1)
τροπή	1	de variación	giro (1)
τροφός	1	nodriza	madre (1)
τροχός	1	carrera	rueda (1)
τρυμαλιά	1	ojo	agujero (1)
τυμπανίζω	1	ser atormentados	fueron golpeados salvajemente con varas (1)
τυφωνικός	1	tempestuoso	huracanado (1)
φάραγξ	1	valle	barranco (1)
φάσις	1	informe	aviso (1)
φίλανδρος	1	amadoras de sus maridos	encariñadas a esposos (1)
φαντάζω	1	manifestación	estando siendo hecho ser aparecido (1)
φαντασία	1	pompa	apariencia (1)
φανός	1	linternas	antorchas (1)
φιλαργυρία	1	amor al dinero	cariño a (la) plata (1)
φιλονεικία	1	disputa	fuerte altercado (1)
φιλοφρόνως	1	hospitalariamente	amistoso de mente (1)
φιλόνεικος	1	contencioso	encariñado a altercado (1)
φιλόστοργος	1	consagrado	tiernamente cariñosos (1)
φρίσσω	1	temblar	están erizándose (1)
φραγέλλιον	1	azote	flagelo (1)
